address,apn
3805 Hunters Point Ave, Long Island City, NY 11101,00212-0006
3805 Hunters Point Ave, Long Island City, NY 11101,00212-0001
5025 38th St, Long Island City, NY 11101,00212-0011
5015 39th St, Long Island City, NY 11104,00210-0022
3735 Hunters Point Ave, Long Island City, NY 11101,00234-0023
37-16 38th St, Queens, NY 11101,00234-0021
5031 38th St, Long Island City, NY 11101,00212-0010
5021 39th St, Long Island City, NY 11104,00210-0021
5018 39th St, Sunnyside, NY 11104,00212-0131
5025 39th St, Long Island City, NY 11104,00210-0019
5023 39th St, Long Island City, NY 11104,00210-0020
3708 Greenpoint Ave, Long Island City, NY 11101,00234-0010
5034 39th St, Long Island City, NY 11104,00212-0037
5052 39th Pl, Long Island City, NY 11104,00210-0052
5050 39th Pl, Sunnyside, NY 11104,00210-0151
5026 39th St, Long Island City, NY 11104,00212-0034
5017 38th St, Long Island City, NY 11101,00212-0015
5019 38th St, Long Island City, NY 11101,00212-0014
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000004D
4630 39th St, Queens, NY 11104,00210-0001
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006A
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000001D
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000002B
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000005E
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000005A
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006F
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006H
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000002C
5046 39th Pl, Long Island City, NY 11104,00210-0050
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-00000L2
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000003H
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000001H
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000002H
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000005B
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006C
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000004B
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000004F
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000003A
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000003B
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-0000RES
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006B
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000005G
5027 39th St, Long Island City, NY 11104,00210-0018
5054 39th Pl, Sunnyside, NY 11104,00210-0152
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000006G
5015 38th St, Long Island City, NY 11101,00212-0016
5014 39th St, Long Island City, NY 11104,00212-0029
5009 38th St, Long Island City, NY 11101,00212-0018
5016 39th St, Long Island City, NY 11104,00212-0031
5033 39th St, Sunnyside, NY 11104,00210-0016
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000005D
5015 39th St, Sunnyside, NY 11104,00210-0022-00050-015-000004G
5044 39th St, Sunnyside, NY 11104,00212-0040
5035 38th St, Long Island City, NY 11101,00212-0008
5048 39th Pl, Long Island City, NY 11104,00210-0051
5020 39th St, Long Island City, NY 11104,00212-0032
5011 38th St, Long Island City, NY 11101,00212-0116
3714 Greenpoint Ave, Long Island City, NY 11101,00234-0013
5033 38th St, Long Island City, NY 11101,00212-0009
5040 39th St, Long Island City, NY 11104,00212-0039
5032 39th St, Long Island City, NY 11104,00212-0036
